edge_key, edge_count
(15->25), 1
(25->38), 1
(38->12), 1
(12->11), 2
(11->26), 1
(26->36), 1
(36->21), 1
(21->37), 1
(37->42), 1
(42->5), 1
(5->17), 1
(17->43), 2
(43->28), 2
(28->8), 1
(8->1), 1
(1->30), 1
(30->22), 3
(22->31), 1
(31->18), 7
(18->14), 2
(14->33), 2
(33->32), 1
(32->44), 1
(44->29), 2
(29->16), 1
(16->4), 1
(4->34), 1
(34->24), 1
(24->7), 1
(7->40), 8
(40->35), 1
(35->23), 3
(23->39), 1
(39->3), 1
(3->2), 3
(2->9), 1
(9->19), 1
(19->10), 1
(10->27), 1
(27->13), 1
(13->6), 1
(6->20), 2
(20->41), 1
(41->15), 4
(31->44), 1
(44->34), 1
(34->37), 1
(37->27), 1
(27->15), 1
(15->26), 1
(26->17), 1
(17->2), 1
(2->40), 1
(40->39), 1
(39->20), 1
(20->6), 1
(6->4), 1
(4->8), 1
(8->32), 2
(32->3), 1
(3->10), 2
(10->18), 1
(18->23), 4
(23->43), 1
(43->36), 2
(36->7), 2
(7->35), 4
(35->13), 1
(13->9), 4
(9->28), 1
(28->19), 1
(19->16), 1
(16->14), 1
(14->22), 1
(22->30), 2
(30->5), 1
(5->12), 1
(12->38), 1
(38->33), 1
(33->29), 1
(29->41), 1
(41->42), 2
(42->11), 2
(11->24), 5
(24->21), 1
(21->1), 1
(1->25), 1
(25->31), 2
(33->12), 1
(24->23), 1
(23->7), 2
(7->4), 1
(4->31), 1
(31->21), 2
(21->34), 1
(34->20), 1
(20->5), 1
(5->16), 2
(16->27), 2
(27->6), 1
(6->1), 1
(1->8), 1
(8->19), 1
(19->39), 1
(39->2), 1
(2->42), 1
(42->37), 1
(37->10), 1
(10->43), 1
(43->15), 1
(15->9), 1
(9->25), 1
(25->44), 1
(44->22), 1
(30->28), 1
(28->36), 1
(36->26), 1
(26->32), 1
(32->29), 1
(29->18), 2
(18->35), 1
(35->38), 2
(38->41), 1
(41->13), 1
(13->3), 1
(3->40), 2
(40->17), 1
(17->14), 1
(32->24), 2
(24->17), 1
(17->28), 1
(28->15), 5
(15->31), 1
(21->11), 1
(11->29), 1
(29->10), 1
(10->2), 1
(2->22), 1
(22->23), 1
(23->26), 1
(26->34), 2
(34->12), 1
(12->37), 1
(37->40), 3
(40->33), 1
(33->36), 1
(36->44), 1
(44->25), 1
(25->19), 1
(19->4), 1
(4->5), 3
(5->27), 1
(27->8), 1
(8->13), 3
(13->16), 1
(16->42), 1
(42->3), 5
(3->18), 1
(14->43), 1
(43->9), 1
(9->30), 1
(30->1), 1
(1->6), 3
(20->39), 1
(39->35), 3
(38->7), 1
(7->41), 1
(41->32), 1
(44->11), 2
(24->29), 2
(29->7), 2
(7->2), 2
(2->14), 3
(14->8), 2
(8->16), 2
(16->43), 2
(43->12), 1
(12->32), 1
(32->4), 2
(5->36), 2
(36->30), 2
(30->19), 5
(19->3), 13
(3->20), 2
(20->42), 5
(42->28), 2
(28->13), 2
(13->25), 1
(31->26), 7
(34->41), 8
(41->38), 2
(38->15), 2
(15->22), 9
(22->35), 2
(23->33), 2
(33->10), 4
(10->6), 2
(6->39), 2
(39->17), 2
(17->21), 5
(21->27), 4
(27->1), 2
(1->9), 1
(9->40), 2
(40->37), 2
(37->18), 1
(18->44), 1
(29->1), 1
(1->24), 1
(24->37), 2
(40->43), 2
(43->30), 2
(30->41), 2
(41->39), 1
(39->18), 1
(18->8), 2
(13->38), 2
(38->17), 1
(17->11), 1
(11->44), 1
(44->36), 1
(36->31), 1
(31->7), 1
(7->10), 4
(10->3), 2
(2->26), 2
(26->23), 2
(23->5), 1
(16->19), 1
(19->20), 2
(20->22), 7
