edge_key, edge_count
(20->21), 1
(21->17), 1
(17->12), 1
(12->22), 1
(22->14), 2
(14->18), 1
(18->4), 1
(4->1), 1
(1->5), 9
(5->13), 1
(13->9), 1
(9->3), 1
(3->16), 1
(16->11), 2
(11->15), 2
(15->7), 3
(7->8), 1
(8->10), 1
(10->6), 1
(6->19), 1
(19->2), 1
(2->20), 3
(10->12), 3
(12->2), 1
(2->19), 1
(19->5), 1
(5->22), 3
(22->20), 12
(20->9), 1
(9->14), 7
(14->13), 1
(13->6), 12
(6->11), 9
(11->16), 13
(16->18), 2
(18->1), 1
(1->17), 1
(17->8), 1
(8->21), 3
(21->7), 1
(7->3), 1
(3->15), 1
(15->4), 1
(4->10), 1
(17->11), 1
(11->4), 1
(4->7), 1
(7->14), 1
(14->2), 9
(20->1), 1
(1->18), 1
(18->22), 19
(22->9), 1
(9->19), 14
(19->8), 1
(21->5), 1
(5->15), 1
(15->10), 1
(12->16), 1
(16->3), 1
(3->13), 1
(6->17), 2
(1->12), 1
(12->15), 1
(15->22), 1
(14->16), 1
(11->17), 30
(17->5), 1
(5->6), 5
(6->8), 1
(21->3), 1
(3->4), 1
(4->18), 1
(18->10), 1
(10->9), 1
(9->2), 5
(20->13), 1
(13->19), 1
(19->7), 1
(7->1), 2
(5->7), 9
(7->16), 2
(16->17), 3
(17->21), 44
(21->8), 14
(8->20), 2
(20->12), 2
(12->1), 3
(1->4), 2
(4->19), 21
(19->6), 3
(6->10), 2
(10->13), 13
(13->11), 2
(11->3), 2
(3->9), 2
(2->22), 8
(22->15), 2
(15->18), 2
(18->14), 4
(14->5), 2
(8->22), 1
(20->5), 1
(5->3), 1
(3->11), 1
(18->9), 7
(2->14), 33
(14->19), 1
(19->10), 1
(13->4), 2
(4->12), 1
(1->6), 1
(6->15), 2
(7->17), 1
(8->3), 1
(3->18), 1
(22->5), 7
(5->20), 2
(20->14), 1
(14->10), 1
(12->13), 1
(4->9), 1
(2->15), 1
(7->11), 1
(16->1), 2
(1->19), 1
(19->13), 9
(13->10), 30
(10->8), 30
(8->6), 22
(6->12), 22
(12->5), 6
(5->11), 2
(21->16), 30
(16->20), 29
(20->15), 29
(15->3), 40
(3->1), 29
(1->7), 27
(7->18), 15
(22->2), 10
(14->9), 22
(9->4), 5
(4->13), 21
(12->11), 20
(7->22), 12
(22->18), 14
(18->2), 15
(19->4), 21
(8->12), 18
(12->6), 4
(7->5), 12
(3->17), 5
(20->18), 4
(9->5), 8
(5->19), 8
(2->9), 2
(5->4), 14
(19->9), 8
(9->22), 3
(14->11), 5
(16->15), 9
(12->10), 10
(6->1), 9
(5->9), 2
(19->18), 2
(20->2), 7
(3->7), 6
(9->18), 5
(14->17), 5
(1->11), 5
