edge_key, edge_count
(24->41), 1
(41->33), 7
(33->35), 14
(35->17), 2
(17->16), 1
(16->4), 1
(4->38), 3
(38->6), 1
(6->40), 3
(40->37), 1
(37->26), 1
(26->2), 1
(2->19), 1
(19->7), 2
(7->25), 1
(25->11), 7
(11->5), 1
(5->23), 1
(23->36), 1
(36->21), 1
(21->15), 2
(15->9), 1
(9->34), 1
(34->8), 1
(8->32), 2
(32->20), 2
(20->12), 1
(12->27), 1
(27->29), 2
(29->42), 1
(42->3), 4
(3->31), 1
(31->18), 1
(18->43), 1
(43->13), 1
(13->10), 1
(10->39), 2
(39->14), 1
(14->28), 1
(28->22), 1
(22->30), 1
(30->1), 1
(1->44), 1
(44->24), 1
(14->41), 1
(41->5), 1
(5->10), 2
(10->8), 1
(8->35), 1
(35->23), 3
(23->16), 1
(16->21), 1
(21->13), 3
(13->7), 2
(7->27), 16
(27->2), 1
(2->17), 3
(17->26), 1
(26->39), 1
(39->3), 1
(3->18), 1
(18->9), 1
(9->24), 1
(24->19), 1
(19->20), 2
(20->37), 1
(37->1), 1
(1->33), 1
(33->36), 1
(36->12), 1
(12->42), 1
(42->32), 1
(32->30), 1
(30->11), 1
(11->29), 1
(29->25), 3
(25->44), 1
(44->43), 1
(43->22), 1
(22->6), 1
(6->28), 7
(28->4), 1
(38->34), 1
(34->31), 1
(31->15), 1
(15->40), 1
(40->14), 1
(9->2), 1
(2->5), 2
(5->40), 7
(40->35), 1
(17->25), 1
(25->13), 1
(13->12), 4
(12->16), 1
(16->14), 2
(14->6), 1
(28->1), 10
(1->42), 6
(42->11), 1
(11->3), 1
(3->27), 2
(27->44), 1
(44->31), 1
(31->29), 1
(29->37), 1
(37->36), 2
(36->39), 1
(39->10), 1
(10->38), 1
(38->33), 1
(33->34), 1
(34->30), 2
(30->22), 1
(22->15), 1
(15->43), 1
(43->32), 1
(20->19), 1
(7->18), 1
(18->21), 2
(21->4), 1
(4->26), 1
(26->23), 1
(23->41), 1
(41->8), 15
(8->24), 1
(24->9), 1
(6->41), 1
(41->42), 1
(42->37), 1
(37->17), 1
(17->1), 1
(1->24), 1
(24->28), 1
(28->5), 4
(40->13), 2
(13->3), 1
(29->44), 1
(44->36), 1
(36->43), 1
(43->2), 1
(2->26), 1
(26->11), 1
(11->25), 1
(25->15), 1
(15->18), 1
(18->38), 1
(38->23), 1
(23->7), 4
(7->31), 2
(31->34), 1
(34->21), 1
(21->22), 1
(22->19), 1
(20->30), 1
(30->8), 1
(32->33), 1
(33->10), 1
(39->4), 1
(4->12), 1
(12->9), 4
(9->16), 1
(14->35), 1
(35->6), 1
(30->5), 10
(5->4), 3
(4->42), 12
(42->15), 12
(15->24), 12
(24->38), 14
(38->39), 15
(39->33), 14
(35->36), 15
(36->14), 14
(14->29), 4
(29->11), 15
(11->7), 14
(27->20), 3
(20->22), 13
(22->34), 7
(34->2), 14
(17->21), 15
(21->31), 6
(31->32), 4
(32->26), 4
(26->43), 7
(43->40), 2
(40->41), 5
(8->37), 1
(37->16), 3
(16->13), 1
(13->28), 1
(1->25), 1
(25->9), 7
(9->18), 1
(18->10), 1
(10->44), 7
(44->23), 12
(23->3), 7
(3->6), 5
(6->19), 6
(19->12), 1
(12->30), 5
(5->34), 5
(2->31), 6
(31->4), 11
(14->37), 17
(37->32), 3
(32->29), 3
(27->16), 11
(16->20), 11
(22->28), 10
(1->26), 8
(26->25), 10
(9->17), 13
(13->43), 8
(43->18), 7
(18->40), 13
(40->10), 7
(19->41), 7
(8->12), 11
(37->29), 8
(21->32), 7
(32->13), 8
(15->1), 4
(42->30), 4
(30->20), 3
(20->5), 3
(5->29), 3
(25->22), 2
(2->36), 3
(36->4), 3
(4->9), 2
(13->26), 4
(43->38), 3
(38->18), 3
(40->27), 3
(27->39), 3
(39->35), 3
(35->41), 3
(12->24), 3
(24->11), 3
(11->44), 3
(7->14), 3
(14->33), 3
(33->37), 4
(37->3), 2
(3->10), 9
(10->6), 5
(28->19), 6
(19->16), 3
(16->15), 3
(1->30), 4
(5->25), 2
(25->34), 2
(28->9), 2
(10->33), 1
(37->6), 2
(6->3), 2
(3->44), 1
(23->19), 3
(12->1), 2
(10->28), 3
(19->1), 2
(5->22), 2
(2->9), 3
(20->32), 2
(25->18), 5
(8->13), 4
(43->12), 2
(12->44), 3
(30->43), 2
(43->34), 1
(34->17), 1
(17->15), 1
(15->8), 1
(8->3), 3
(10->5), 3
(4->13), 2
(9->23), 3
(23->18), 2
(18->37), 2
(16->24), 2
(22->2), 1
(2->25), 1
(25->1), 1
(42->21), 1
(21->6), 1
(40->26), 1
(26->19), 1
(19->28), 5
(28->32), 1
(32->41), 1
(41->31), 1
(31->44), 1
(44->30), 2
(29->22), 1
(4->31), 1
(31->26), 1
(39->25), 1
(13->35), 1
(5->15), 1
(12->2), 1
(2->34), 1
(30->31), 1
(42->5), 1
(44->3), 2
(3->23), 2
(41->6), 3
(6->8), 4
(43->17), 2
(17->8), 1
(10->2), 2
(5->13), 1
(23->31), 1
(33->42), 1
(24->35), 1
(21->34), 1
(34->41), 1
(40->19), 1
(19->32), 1
(32->44), 1
(11->16), 1
(27->43), 1
(3->21), 1
(32->12), 1
(12->23), 1
(23->5), 1
(2->44), 1
(44->19), 1
(19->34), 1
(34->6), 1
(6->4), 1
(36->30), 1
(30->40), 1
(17->9), 1
(9->31), 1
(31->14), 1
(18->41), 1
(30->25), 1
(25->3), 1
(8->44), 1
(44->6), 1
(19->15), 1
(21->24), 1
(16->31), 1
(15->20), 1
(19->30), 1
(23->13), 1
(43->3), 1
(21->36), 3
(36->35), 2
(23->10), 3
(10->15), 1
(15->25), 6
(11->9), 6
(9->43), 6
(43->41), 6
(33->4), 6
(4->20), 6
(20->16), 1
