edge_key, edge_count
(44->23), 1
(23->39), 1
(39->38), 1
(38->9), 1
(9->4), 1
(4->20), 1
(20->6), 1
(6->37), 2
(37->2), 2
(2->21), 1
(21->43), 1
(43->30), 1
(30->13), 2
(13->10), 1
(10->5), 2
(5->40), 4
(40->26), 1
(26->7), 1
(7->11), 1
(11->36), 1
(36->17), 1
(17->34), 1
(34->8), 1
(8->28), 1
(28->19), 1
(19->25), 1
(25->24), 1
(24->18), 2
(18->29), 1
(29->31), 5
(31->12), 1
(12->33), 2
(33->32), 2
(32->15), 2
(15->41), 1
(41->35), 1
(35->14), 1
(14->1), 1
(1->22), 1
(22->27), 2
(27->3), 1
(3->42), 1
(42->16), 1
(16->44), 2
(29->15), 1
(15->16), 1
(16->28), 1
(28->1), 3
(1->41), 1
(41->39), 1
(39->30), 1
(30->18), 1
(18->2), 3
(2->31), 2
(31->40), 1
(40->44), 1
(44->22), 1
(22->25), 1
(25->13), 1
(13->20), 1
(20->14), 2
(14->21), 3
(21->36), 1
(36->3), 1
(3->26), 1
(26->17), 19
(17->23), 1
(23->35), 1
(35->38), 1
(38->4), 2
(4->5), 35
(5->42), 1
(42->24), 1
(24->43), 2
(43->6), 1
(6->10), 1
(10->19), 1
(19->27), 1
(27->37), 1
(37->11), 1
(11->9), 2
(9->34), 27
(34->12), 5
(12->32), 4
(32->7), 1
(7->33), 1
(33->8), 3
(8->29), 1
(28->42), 1
(42->30), 1
(30->20), 1
(20->8), 2
(8->12), 1
(33->41), 16
(41->6), 1
(37->24), 1
(24->23), 1
(23->26), 1
(26->15), 1
(15->9), 1
(9->17), 14
(17->44), 1
(44->13), 1
(13->22), 1
(22->21), 7
(21->35), 1
(35->27), 1
(27->1), 1
(1->19), 3
(19->29), 1
(29->36), 1
(36->43), 2
(43->16), 3
(16->34), 1
(34->31), 1
(31->25), 3
(25->3), 1
(3->5), 2
(5->38), 1
(38->10), 4
(10->11), 1
(11->7), 1
(7->32), 1
(32->40), 1
(40->39), 3
(39->4), 29
(4->18), 1
(18->14), 3
(14->2), 1
(2->28), 1
(9->36), 1
(36->42), 14
(42->19), 1
(19->39), 1
(39->21), 1
(21->22), 1
(22->6), 1
(6->41), 1
(41->23), 1
(23->17), 1
(17->2), 30
(2->37), 1
(37->3), 2
(5->29), 3
(29->44), 3
(44->24), 1
(24->28), 1
(28->25), 1
(25->11), 1
(11->14), 1
(14->7), 1
(7->27), 1
(27->20), 1
(20->33), 15
(33->1), 1
(1->31), 1
(31->35), 1
(35->40), 1
(40->34), 1
(34->13), 5
(13->32), 1
(32->18), 1
(18->38), 1
(38->15), 1
(15->43), 2
(43->12), 1
(12->30), 4
(30->8), 1
(8->4), 3
(4->10), 1
(10->16), 1
(16->26), 1
(26->9), 2
(5->39), 2
(39->23), 2
(23->32), 2
(32->16), 2
(16->13), 2
(13->33), 2
(33->35), 2
(35->18), 1
(18->44), 1
(44->14), 4
(14->42), 10
(42->36), 3
(36->27), 2
(27->10), 4
(10->26), 1
(26->2), 7
(2->9), 1
(9->11), 2
(11->25), 32
(25->15), 2
(15->34), 4
(34->24), 2
(43->37), 1
(37->21), 2
(21->3), 2
(3->1), 1
(1->20), 1
(20->12), 3
(12->29), 2
(31->7), 1
(7->19), 1
(19->22), 2
(22->30), 2
(30->6), 2
(6->4), 2
(4->40), 1
(40->8), 2
(8->17), 2
(17->28), 1
(28->38), 1
(38->41), 1
(41->5), 2
(35->7), 1
(7->44), 1
(44->18), 1
(10->2), 1
(2->26), 1
(24->21), 2
(3->20), 1
(31->37), 1
(37->43), 1
(43->1), 1
(6->38), 1
(4->28), 1
(28->40), 1
(17->41), 1
(32->41), 2
(41->14), 2
(14->11), 2
(11->30), 1
(30->12), 1
(12->37), 1
(3->8), 1
(8->19), 1
(19->13), 10
(13->28), 2
(28->24), 2
(24->5), 2
(29->9), 2
(9->16), 2
(16->31), 2
(31->23), 2
(23->27), 31
(10->18), 32
(2->22), 2
(22->1), 2
(1->21), 2
(21->38), 2
(38->33), 3
(33->20), 12
(20->40), 2
(39->7), 3
(7->43), 1
(43->15), 1
(15->44), 1
(44->34), 2
(34->17), 2
(17->35), 1
(35->42), 2
(42->4), 2
(4->6), 2
(6->36), 1
(36->26), 2
(26->25), 2
(25->32), 30
(11->8), 1
(8->3), 1
(3->37), 3
(37->12), 1
(30->19), 1
(7->15), 1
(43->35), 1
(6->44), 1
(44->36), 1
(26->34), 1
(17->25), 1
(41->24), 30
(24->11), 30
(32->8), 27
(8->38), 30
(38->40), 30
(40->3), 31
(3->28), 29
(28->37), 27
(37->39), 26
(5->35), 29
(35->10), 30
(18->23), 38
(27->7), 30
(7->16), 27
(16->43), 17
(43->9), 37
(2->36), 27
(36->12), 15
(12->1), 4
(1->30), 28
(30->22), 28
(22->19), 29
(13->15), 30
(34->29), 24
(29->26), 28
(26->44), 11
(44->31), 25
(31->21), 28
(21->14), 11
(42->6), 12
(6->20), 17
(12->13), 24
(15->1), 26
(19->34), 10
(15->29), 2
(16->14), 11
(14->43), 10
(21->42), 6
(20->41), 12
(3->39), 1
(42->12), 13
(19->28), 1
(37->44), 1
(21->6), 11
(6->33), 10
(19->44), 15
(21->41), 2
(32->6), 1
(20->42), 1
(42->33), 10
(14->31), 9
(33->6), 1
(4->39), 2
(39->5), 1
(37->42), 1
(42->20), 1
(37->36), 2
(36->39), 1
(18->26), 1
(26->23), 2
(7->9), 1
(19->43), 1
(16->29), 2
(25->17), 6
(2->14), 6
(1->29), 2
(20->28), 1
(28->33), 1
(33->12), 1
(19->20), 1
(25->9), 1
(17->26), 1
(23->31), 2
(6->8), 9
(28->39), 1
(14->37), 1
(44->2), 1
(2->32), 2
(32->34), 1
(34->27), 1
(7->42), 1
(39->35), 1
(7->22), 1
(19->16), 1
(44->41), 1
(32->43), 1
(30->28), 1
(28->5), 1
(5->4), 1
(4->33), 1
(14->6), 5
(6->14), 1
(14->20), 1
(31->14), 2
(20->30), 2
(22->33), 1
(26->22), 1
(31->16), 1
(14->15), 1
(15->26), 2
(26->12), 1
(32->2), 1
(2->11), 3
(11->29), 2
(29->18), 2
(23->7), 8
(7->35), 8
(35->43), 10
(34->19), 7
(13->42), 7
(42->39), 3
(39->33), 2
(33->4), 2
(4->3), 2
(3->41), 8
(41->36), 2
(36->25), 2
(25->44), 1
(44->17), 2
(17->24), 5
(21->37), 2
(37->38), 4
(5->1), 7
(1->28), 8
(28->22), 8
(27->6), 8
(8->40), 1
(40->20), 5
(30->31), 1
(40->27), 2
(27->14), 2
(14->44), 1
(44->29), 6
(25->6), 2
(6->22), 2
(22->16), 2
(16->20), 3
(12->8), 1
(4->36), 1
(36->15), 2
(24->2), 2
(32->11), 1
(11->18), 6
(33->38), 5
(38->39), 5
(39->41), 1
(41->37), 1
(21->10), 1
(10->3), 5
(30->5), 3
(40->14), 1
(31->44), 7
(44->16), 1
(20->10), 1
(10->1), 1
(21->27), 7
(8->37), 1
(38->26), 1
(25->12), 1
(12->15), 1
(15->32), 1
(32->30), 1
(14->29), 1
(39->36), 2
(15->7), 1
(7->26), 1
(11->35), 1
(32->19), 2
(19->41), 1
(41->44), 1
(23->21), 1
(10->42), 2
(33->3), 2
(1->13), 1
(13->30), 2
(29->25), 5
(17->16), 5
(16->4), 5
(22->40), 1
(40->35), 1
(19->21), 1
(8->15), 5
(15->20), 1
(20->11), 5
(7->24), 1
(24->39), 1
(36->37), 5
(41->13), 2
(30->26), 5
(2->29), 1
(29->17), 1
(24->16), 1
(16->10), 1
(10->14), 1
(14->26), 1
(25->36), 1
(36->4), 1
(8->20), 1
(20->18), 1
(12->38), 1
(33->42), 1
(43->32), 1
(15->40), 5
(13->11), 1
(9->19), 1
(19->30), 1
(30->37), 1
(39->12), 4
(12->24), 4
(24->32), 4
(32->36), 4
(37->10), 4
(41->30), 4
