edge_key, edge_count
(22->32), 1
(32->19), 1
(19->17), 3
(17->42), 1
(42->4), 1
(4->38), 7
(38->5), 1
(5->3), 1
(3->43), 1
(43->14), 2
(14->34), 1
(34->2), 1
(2->23), 4
(23->30), 1
(30->33), 3
(33->26), 2
(26->11), 1
(11->9), 2
(9->12), 11
(12->8), 1
(8->41), 3
(41->18), 1
(18->6), 1
(6->35), 1
(35->29), 1
(29->44), 3
(44->10), 1
(10->25), 1
(25->24), 5
(24->15), 1
(15->31), 3
(31->20), 1
(20->40), 1
(40->39), 5
(39->16), 1
(16->37), 1
(37->1), 1
(1->36), 1
(36->13), 5
(13->7), 6
(7->27), 4
(27->21), 1
(21->28), 2
(28->22), 9
(9->44), 1
(44->12), 4
(12->19), 5
(19->30), 7
(30->29), 2
(29->31), 9
(31->2), 1
(2->1), 1
(1->41), 1
(41->14), 4
(14->24), 1
(24->22), 1
(22->4), 1
(4->21), 3
(28->13), 2
(13->38), 1
(38->20), 1
(20->25), 1
(25->7), 2
(7->11), 1
(11->15), 1
(15->3), 1
(3->10), 16
(10->33), 1
(33->35), 1
(35->27), 3
(27->16), 1
(16->42), 1
(42->5), 12
(5->37), 5
(37->23), 6
(23->43), 1
(43->8), 1
(8->39), 1
(39->18), 2
(18->26), 4
(26->6), 1
(6->40), 11
(40->17), 3
(17->36), 1
(36->32), 1
(32->34), 2
(34->9), 2
(30->9), 1
(9->25), 2
(25->43), 1
(43->44), 1
(44->16), 1
(16->21), 1
(21->17), 3
(17->34), 5
(34->18), 2
(18->31), 1
(31->24), 1
(24->11), 7
(11->42), 1
(5->32), 1
(32->13), 17
(13->12), 4
(12->36), 1
(36->1), 1
(1->40), 1
(40->26), 1
(26->7), 2
(7->14), 4
(14->19), 10
(19->4), 1
(4->39), 1
(39->6), 1
(6->3), 2
(3->15), 1
(15->28), 3
(28->33), 1
(33->38), 1
(38->10), 5
(10->35), 12
(35->41), 2
(41->29), 2
(29->27), 1
(27->23), 2
(23->37), 2
(37->2), 1
(2->22), 8
(22->8), 1
(8->20), 1
(20->30), 9
(42->3), 1
(10->22), 1
(22->37), 3
(37->21), 6
(21->20), 6
(20->1), 3
(1->16), 4
(16->32), 2
(32->18), 1
(18->23), 19
(23->2), 1
(2->43), 1
(43->34), 2
(34->15), 3
(15->4), 1
(4->30), 1
(30->6), 11
(6->12), 1
(12->28), 2
(28->5), 1
(5->35), 3
(35->19), 1
(19->29), 1
(29->24), 1
(11->8), 4
(8->44), 1
(44->25), 1
(25->36), 1
(36->27), 3
(27->13), 1
(13->9), 1
(9->39), 1
(39->38), 1
(38->40), 4
(40->7), 2
(7->33), 1
(33->17), 1
(17->31), 12
(31->26), 3
(26->14), 1
(14->41), 6
(41->42), 1
(37->36), 3
(36->14), 7
(14->22), 4
(22->31), 2
(31->18), 4
(18->7), 2
(7->40), 3
(28->12), 3
(12->30), 2
(33->23), 2
(23->29), 5
(29->5), 2
(5->6), 7
(6->8), 5
(8->42), 2
(42->16), 4
(16->11), 3
(11->32), 2
(32->43), 2
(43->27), 2
(27->10), 2
(10->39), 2
(39->2), 6
(2->26), 8
(26->25), 2
(24->9), 2
(9->19), 4
(19->41), 2
(41->20), 2
(1->13), 3
